Age,Gender,Occupation,What is your monthly income?,Which of the following brands of sportswear do you prefer?,Why do you choose the brand over others?,What type of products do you buy most often?,How much money do you usually spend on the brands selected?,What colour do you usually prefer to buy?,How often do you buy sportswear?,What is the purpose of your activewear?,Will you repurchase if the price of the products you purchased have increases?,Are you loyal to the same brand of sportswear when purchasing?,"Does the ""brand image"" affect your buying decision?",Does the brand ambassador affect your buying decision?,What do you consider the most influential motive when you purchase a sports clothing item?,What factors influenced you to switch brands?,Where do you usually buy sportswear?,Where do you seek information considering available offers of sportswear?,adjusted_age
27,Female,Employee,RM 2501 - RM 4849,Nike,Quality,T-shirts;Shorts,RM 0 - RM 249,Light colour - White / Pink / Yellow / etc,Once every 6 months,Running,Yes,No,No,No,Comfy,Design,Always in regular shops,Websites of producers,21-30
22,Male,Employee,RM 2501 - RM 4849,Adidas,Quality,T-shirts;Shorts;Sport Shoes;Caps;Bags,RM 0 - RM 249,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Walking,No,No,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Websites of producers,21-30
19,Female,Student,Below RM 2500,Adidas,Stylish,T-shirts,RM 0 - RM 249,Both accepted,Never,Walking,No,No,Yes,Yes,It's worn by a celebrity or role model,Quality,"Usually on the Internet, occasionally in regular shops",From friends or family,15-20
38,Male,Self-employed,RM 10960 - RM 15039,Nike,Stylish,T-shirts;Sport Shoes;Bags,above RM 999,Both accepted,Several times per month,Gym,Yes,Yes,Yes,No,Comfy,Quality,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,31-40
22,Female,Student,Below RM 2500,Nike,Stylish,Sport Shoes;Bags,RM 250 - RM 499,Light colour - White / Pink / Yellow / etc,Once every 6 months,Walking,Yes,Yes,Yes,No,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Websites of producers,21-30
36,Male,Self-employed,RM 10960 - RM 15039,Adidas,Quality,T-shirts;Sport Shoes,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once per month,Gym,No,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,31-40
33,Male,Self-employed,RM 10960 - RM 15039,Adidas,Quality,T-shirts;Sport Shoes,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once per month,Gym,No,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,31-40
40,Male,Self-employed,RM 10960 - RM 15039,Adidas,Quality,T-shirts;Shorts;Sport Shoes,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once per month,Gym,No,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,31-40
37,Male,Employee,RM 4850 - RM 10959,Nike,Quality,T-shirts;Sport Shoes;Caps,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Running,No,Yes,Yes,Yes,Price,Promotions,Always on the Internet,Internet forums / Discussion groups,31-40
34,Male,Employee,RM 4850 - RM 10959,Nike,Affordable,T-shirts;Shorts;Sport Shoes,RM 250 - RM 499,Dark colour - Black / Grey / Brown / etc,Once every 6 months,Running,Yes,Yes,Yes,Yes,Price,Promotions,"Usually on the Internet, occasionally in regular shops",Internet forums / Discussion groups,31-40
